"Store","Year","Sum_Dry_Grocery","Sum_Dairy","Sum_Frozen_Food","Sum_Meat","Sum_Produce","Sum_Floral","Sum_Deli","Sum_Bakery","Sum_General_Merchandise","Total.Sales","Dry_Grocery_Percent","Dairy_Percent","Frozen_Food_Percent","Meat_Percent","Produce_Percent","Floral_Percent","Deli_Percent","Bakery_Percent","General_Merchandise_Percent","KMeans"
"1","S0001",2015,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,23508946,46.1347252658626,10.308371034584,7.71992449172328,10.7677406719978,9.71710386335483,0.676943279379688,4.35499277594155,3.55438759355694,6.7658102579333,"1"
"2","S0002",2015,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,17334620,45.7527937733853,10.6387612188788,7.88409275772991,11.4903451013059,10.1259395937148,0.74380586364166,3.97924165629244,2.9701526771282,6.41486487733795,"1"
"3","S0003",2015,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,30240662,42.1349090836702,10.2356277121182,6.90274951652844,11.4712737439412,12.5398810052505,0.963139265932736,4.17608010697649,3.61080203865908,7.96553749385513,"2"
"4","S0004",2015,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.820000001,1606208.31,27913891,45.4559842266347,9.71110183098443,8.02771437346373,12.7727655023085,10.040921489591,0.611962839576898,4.1785244844583,3.44687102202986,5.75415412347924,"1"
"5","S0005",2015,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,27825886,44.0168754015595,10.6268089361108,8.63385226978936,10.1863262143746,13.1112052281103,0.887725048539336,3.53892145608589,2.26068611076751,6.73759994560461,"2"
"6","S0006",2015,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,34625421,45.9835152329267,9.86092200871724,7.44431347130768,10.6915912733595,10.1782028585299,0.826503914566122,4.63088697174253,3.54168898047478,6.84237491292886,"1"
"7","S0007",2015,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.009999999,1966428.99,30863087,44.208680226965,10.2134958826381,8.91698529703137,11.5134594280864,10.3446844121588,0.783833386465845,4.62976594013425,3.01763725060944,6.37145918034706,"2"
"8","S0008",2015,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.200000001,2598245.71,29181880,42.8456850963681,10.8732132405452,8.03214631819472,10.6877728234096,12.3696354038876,0.785879593775315,3.26226572791061,2.23977413381181,8.90362687393683,"2"
"9","S0009",2015,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,40678620,44.2252272323889,10.0376119445547,7.70513635909969,11.8908013103689,10.3507490175429,0.728825609128333,4.4203936859215,2.57563412918137,8.0656214738848,"1"
"10","S0010",2015,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,21703928,43.144535403914,11.4961551199396,8.0341742748133,10.7148301450318,12.1628836494482,1.03830223727244,3.70989504756927,3.80513670152242,5.89408797338436,"2"
